index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,year
80,0.000405303,0.968001467,138.8069625,"[170.9766628787879, 134.3640568181818, 88.09072727272728]",170.9766629,7.493719459,1944
81,0.000409982,0.646254557,49.03363831,"[122.52456773618539, 28.334046345811053, 37.67874331550802]",122.5245677,6.076328934,1957
82,0,0.316906039,177.6143021,"[205.74087516180936, 175.1007694261968, 119.69143710908673]",205.7408752,6.937933518,1955
83,0.001054348,0.988786928,180.6538814,"[206.14740217391304, 178.5302536231884, 126.62197101449276]",206.1474022,7.539613878,1948
84,0.00085034,0.707243079,86.77586141,"[128.04146781789638, 77.06245159602302, 61.48448717948718]",128.0414678,7.165898324,1953
85,0.004415246,1,37.52241021,"[48.100343276515154, 33.65909090909091, 44.643980823863636]",48.10034328,6.53886734,1968
86,2.71E-05,0.665338169,157.3281727,"[200.48257113821137, 147.58768292682927, 126.74331300813009]",200.4825711,6.876109389,1951
87,4.52E-05,0.968812466,144.3436392,"[165.8461068909387, 139.0110824742268, 133.85084102007596]",165.8461069,6.89951297,1968
88,0.000423729,0.834611566,85.93818076,"[121.28489014438166, 75.24551161330822, 87.77594475831764]",121.2848901,7.182565271,1953
89,0.001092437,0.926755694,87.69648988,"[207.58359943977592, 57.86686274509804, 30.163939075630253]",207.5835994,7.220553644,1957
90,0.000203488,0.82663673,56.21941078,"[85.85992894056848, 46.60046834625323, 64.22347545219638]",85.85992894,6.347205745,1957
91,0.000133885,0.691673915,184.0925275,"[209.2194092827004, 181.02991317753975, 140.44165043816943]",209.2194093,7.210443869,1948
92,0,0.553807794,85.96491747,"[100.59212834718375, 83.35367959372114, 68.76010156971375]",100.5921283,6.782881913,1953
93,0.011906005,0.989913509,32.18761015,"[39.54368581375109, 28.075522193211487, 51.2605134899913]",39.54368581,6.311195879,1968
94,0,0.625120359,203.8030153,"[203.25704953338118, 208.24390524048815, 161.4200215362527]",203.2570495,7.004786682,1951
95,0.000572917,0.838526574,94.08846373,"[145.13409830729168, 82.67890299479167, 56.800595703125]",145.1340983,6.635606292,1968
96,0.000668656,0.862398952,141.810098,"[161.20257515473034, 138.94201480990273, 113.11774977895668]",161.2025752,7.505912576,1948
97,0,0.506549492,95.74223969,"[218.8679116117851, 64.6366580011554, 41.31279607163489]",218.8679116,6.187428491,1957
98,0.00946595,1,84.35976189,"[108.40554121863799, 79.25297491039427, 64.1414982078853]",108.4055412,7.654202114,1936
99,0.001152554,0.731065064,55.46697193,"[152.45434811827957, 30.473131720430107, 17.462516801075267]",152.4543481,6.050708075,1955
100,7.78E-05,0.712119523,160.0839355,"[217.37699248120302, 149.51453979777028, 96.07739694062744]",217.3769925,7.81223019,1948
101,0,0.630137495,148.4145033,"[169.42876, 146.35067666666666, 106.97984666666666]",169.42876,7.505195692,1953
102,0,0.402491252,133.5280874,"[227.82056674123788, 116.99549217002237, 19.643475018642803]",227.8205667,6.30220341,1968
103,0,0.601939244,89.53479075,"[61.10109469859936, 93.69359912041685, 132.06420957024716]",61.1010947,6.974585947,1968
104,0.000518466,0.66002193,118.8930859,"[182.29297585227272, 104.384375, 75.9265127840909]",182.2929759,6.892559856,1953
105,0.000282828,0.75583816,142.0840344,"[202.9449797979798, 128.59293602693603, 96.51335016835017]",202.9449798,7.522365834,1948
106,0,0.353666104,108.9031797,"[100.80647855530474, 110.22658389766742, 119.6353122648608]",100.8064786,6.958921643,1955
107,0.01390457,1,64.6148057,"[101.76389784946237, 56.01899193548387, 40.374210349462366]",101.7638978,6.912281366,1957
108,0.001407331,0.865720724,54.29402169,"[160.01976486860303, 25.66246887966805, 26.59310165975104]",160.0197649,5.874714184,1957
109,0.001317829,0.941508072,50.48623583,"[48.722061310782244, 50.700306553911204, 53.5604756871036]",48.72206131,6.636311253,1955
110,0.008295184,1,85.18642533,"[109.14049030644152, 80.13920950594121, 64.64812257661038]",109.1404903,7.462383032,1936
111,0.003746819,0.990604517,104.9799958,"[206.49635814249365, 79.57257315521629, 57.736367684478374]",206.4963581,7.729454545,1948
112,0.000219907,0.794340879,144.4778488,"[177.22326388888888, 141.46183449074073, 77.93184027777778]",177.2232639,7.234656579,1953
113,0,0.389673835,151.8120314,"[215.40213930348258, 144.8360305614783, 33.66769367448472]",215.4021393,6.869801963,1968
114,1.39E-05,0.661496583,118.8691624,"[182.46275922059846, 102.84195198329854, 90.37417884481559]",182.4627592,6.475090576,1953
115,0.003621795,0.994803087,108.8414962,"[149.48790705128206, 99.45146794871795, 82.17004487179487]",149.4879071,7.817943291,1948
116,0.009407018,1,58.94346614,"[102.67216842105263, 48.770154385964915, 30.95496842105263]",102.6721684,7.272246547,1936
117,0.000392157,0.706567389,64.83475523,"[137.82346855983772, 45.677704530087894, 39.67855307640298]",137.8234686,6.773624697,1957
118,2.86E-05,0.676966553,157.6594081,"[223.21605392156863, 142.3277410130719, 116.49410947712418]",223.2160539,7.116766356,1950
119,0.000443548,0.712946449,169.5317085,"[239.7164247311828, 156.78099798387098, 89.17211693548387]",239.7164247,6.928242528,1952
120,7.29E-05,0.991989732,63.49115985,"[60.570218631178705, 64.43619455006338, 62.730817490494296]",60.57021863,6.277986488,1969
121,0,0.49151305,87.42240334,"[157.86150907354346, 68.36467526265521, 68.78989971346705]",157.8615091,7.289820845,1954
122,0.001455518,0.994969429,146.6874355,"[215.85762105855855, 132.36608671171172, 84.87368524774774]",215.8576211,7.798079549,1949
123,5.39E-05,0.627986025,106.4404069,"[225.9503710353082, 77.90146618791142, 37.23309395571514]",225.950371,7.042041168,1956
124,0.000155556,0.988395568,130.7054284,"[161.31758148148148, 124.83156296296296, 98.75037037037038]",161.3175815,6.184612898,1949
125,0.000372389,0.996106418,169.8846086,"[164.0312600208952, 174.778531751368, 138.64206138218532]",164.03126,7.094919384,1954
126,0.000641457,0.88893436,67.02305956,"[19.589250777767088, 76.7978406940569, 109.86937922960968]",19.58925078,6.536311146,1969
127,0.00037851,0.743932244,144.2346963,"[225.5094078144078, 134.17210317460317, 4.591523199023199]",225.5094078,6.345385799,1950
128,0.000817152,0.738618228,128.2243479,"[195.18252427184467, 118.70724919093851, 25.334053398058252]",195.1825243,6.75879798,1952
129,0,0.589883602,140.000625,"[149.45302443258808, 137.26497395833334, 139.26596375338752]",149.4530244,6.066151399,1969
130,0,0.448957722,152.2653714,"[209.77729002624673, 145.28985236220473, 52.014087926509184]",209.77729,7.277879198,1954
131,0.000307263,1,135.2947758,"[218.84018621973928, 117.00547020484171, 70.45761638733705]",218.8401862,7.746859759,1949
