index,contour,contrast,luminance,mean_color,mean_color_r,shannon_entropy,period
132,0.008896104,0.993352365,154.823694,"[157.57852272727274, 155.85077922077923, 136.53771103896105]",157.5785227,6.948747368,stripe_paintings_61_62
133,0.013906926,0.968224368,145.6054069,"[164.54234307359306, 145.91569264069264, 86.77010281385282]",164.5423431,7.541798808,stripe_paintings_61_62
134,0.001086957,0.832877518,135.6670631,"[165.06653726708075, 129.87558229813664, 106.46677018633541]",165.0665373,7.531060187,stripe_paintings_61_62
135,0.008893211,0.970429646,170.715796,"[197.16990806223478, 167.5901343705799, 123.78129420084866]",197.1699081,6.263248083,stripe_paintings_61_62
136,0.000300253,0.949863993,155.4154933,"[166.9114570164349, 156.05298672566371, 115.24960493046777]",166.911457,7.128200957,stripe_paintings_61_62
137,0.000909704,0.916611611,124.3330209,"[127.02981805929919, 126.54715296495957, 94.45924865229111]",127.0298181,7.287226708,stripe_paintings_61_62
138,0.000117883,0.662276794,182.9659172,"[203.3052261613692, 179.65828239608803, 155.83964809640239]",203.3052262,5.676948056,stripe_paintings_61_62
139,0.002003484,0.98063329,137.9282939,"[154.7802700348432, 136.45039198606273, 102.94581881533101]",154.78027,7.496772773,stripe_paintings_61_62
140,0.004721135,0.993352365,133.9685521,"[159.63390410958905, 131.75278864970645, 80.34334637964776]",159.6339041,7.543236145,stripe_paintings_61_62
141,0.000222646,0.963467143,161.3097651,"[184.17121046892038, 158.45598418756816, 122.26102326426754]",184.1712105,6.370394858,stripe_paintings_61_62
142,0.002155172,0.877200667,114.3215481,"[137.99321120689655, 111.87410201149426, 68.86196120689655]",137.9932112,7.584846386,stripe_paintings_61_62
143,0.003701637,0.964103588,148.7929571,"[167.16434151785714, 147.46151413690475, 107.88563988095238]",167.1643415,7.288577679,stripe_paintings_61_62
144,0.000426033,0.932014182,140.2431136,"[170.24120739666424, 136.91675126903553, 84.86111312545323]",170.2412074,7.585183739,stripe_paintings_61_62
145,0.016022838,0.974705188,136.5916694,"[158.71433430515063, 134.7884961127308, 89.31121234207968]",158.7143343,7.427056276,stripe_paintings_61_62
146,0.002864583,1,150.5392037,"[159.35590277777777, 152.44137731481482, 105.7349826388889]",159.3559028,6.990280382,stripe_paintings_61_62
147,0.008438375,0.97468378,146.4945883,"[167.44730392156862, 144.59037114845938, 103.66008403361344]",167.4473039,7.215531123,stripe_paintings_61_62
148,0.000880282,0.955487372,133.7621508,"[151.51124245472838, 130.49840291750502, 113.82829476861167]",151.5112425,7.846519341,stripe_paintings_61_62
149,0.00280112,0.839168556,146.8500552,"[162.3549019607843, 144.03245798319327, 129.10511204481793]",162.354902,7.4589862,stripe_paintings_61_62
150,0.000858951,0.705032015,133.3872654,"[156.6776672694394, 131.69003164556963, 81.61887432188065]",156.6776673,7.546180241,stripe_paintings_61_62
151,0.000299282,0.975161837,132.486862,"[148.241709896249, 129.74796488427774, 113.22617717478053]",148.2417099,6.903108373,stripe_paintings_61_62
152,0.002534418,0.847138181,151.4006307,"[156.30804130162704, 151.90644555694618, 131.93976846057572]",156.3080413,6.866129357,stripe_paintings_61_62
153,0.000183917,0.880399343,121.1769949,"[133.86390178858798, 120.84268242218033, 87.13078762241942]",133.8639018,7.537674249,stripe_paintings_61_62
154,0.003328804,0.820497517,158.5383771,"[174.67408773291925, 155.38035714285715, 142.30795807453416]",174.6740877,6.998248062,stripe_paintings_61_62
155,0.000168683,0.880694777,121.1416143,"[150.51867729176362, 117.43526058631922, 71.35242554676594]",150.5186773,7.564969812,stripe_paintings_61_62
156,0.005056391,0.956708402,168.2572438,"[180.7436090225564, 168.57415413533835, 128.35065789473686]",180.743609,7.345498064,stripe_paintings_61_62
157,0.001504788,0.952104576,140.9373326,"[155.8281121751026, 139.4061559507524, 112.25752393980848]",155.8281122,7.537221752,stripe_paintings_61_62
158,0.00170068,0.860321011,117.379675,"[134.2513775510204, 114.52482993197279, 95.97886054421768]",134.2513776,7.141325365,stripe_paintings_61_62
159,0.000393801,0.739426884,128.9707862,"[154.69386432926828, 124.59814532520325, 96.54123475609757]",154.6938643,7.391405241,stripe_paintings_61_62
160,0.000207641,0.908863007,127.1502338,"[141.64327242524917, 127.5624792358804, 80.39042774086379]",141.6432724,7.274580537,stripe_paintings_61_62
161,0.01192351,0.969666563,127.2427783,"[157.0136529808774, 123.89793307086615, 72.71293588301462]",157.013653,7.724528143,stripe_paintings_61_62
162,0,0.529808082,196.5945879,"[227.566238317757, 192.63734423676013, 144.5952492211838]",227.5662383,7.089225914,stripe_paintings_61_62
163,0.001541514,0.723404936,127.8017177,"[149.68910256410257, 124.05895909645909, 100.42724358974358]",149.6891026,7.057943103,stripe_paintings_61_62
164,0.003426535,1,152.7913762,"[157.49550438596492, 156.07302631578946, 106.43218201754387]",157.4955044,7.615385695,stripe_paintings_61_62
165,0.001276455,0.925912399,139.1406394,"[169.02675264550265, 133.70748677248676, 104.95785714285714]",169.0267526,7.670163776,stripe_paintings_61_62
166,0.000110294,0.870064954,191.6484265,"[211.22585609243697, 188.9435661764706, 160.79461134453783]",211.2258561,7.001075979,stripe_paintings_61_62
167,0.000691853,0.713281305,190.6294349,"[205.29130130597014, 190.2359608208955, 151.353809079602]",205.2913013,6.3627749,stripe_paintings_61_62
168,0.000126422,0.988793271,157.251293,"[177.12428097345133, 156.05654235145386, 110.56830752212389]",177.124281,6.846401543,stripe_paintings_61_62
169,0.000997807,0.994382486,139.729389,"[173.4241995614035, 134.87235745614035, 88.62457236842106]",173.4241996,7.727727248,stripe_paintings_61_62
170,0.005729592,0.951197117,185.2657889,"[224.08475, 178.06230102040817, 142.3159744897959]",224.08475,6.444503027,stripe_paintings_61_62
171,0.003125,0.912859139,153.2860905,"[190.46631009615385, 148.79804086538462, 88.26307692307692]",190.4663101,7.421606982,stripe_paintings_61_62
172,0.003697289,0.861315227,186.4677923,"[210.606453313253, 183.05913403614457, 149.15467620481928]",210.6064533,6.831233586,stripe_paintings_61_62
